Gene Symbol
CTGF
EGR4
KRTAP4-8
NR4A3
TNFAIP3
JUN
MLF1
RGCC
CCDC173
ATF3
RASD1
IL8
HSD17B7
NFKB2
FOSB
CYR61
EDN1
SELK
LRRC15
GEM
PDK4
DUSP5
KLF2
CSRP1
EREG
MAP3K8
EGR3
DDIT3
EPGN
RRP12
NR4A1
EGR2
EPPK1
NEU1
THBS1
DUSP4
SLC2A4
TFPI2
TNFRSF11B
TPM4
ANXA1
SAT1
ENTPD4
TPM1
MAP3K8
SRF
CGA
PER1
LETM2
TMEM88
EMP1
LMNA
IL6
MYADM
NR4A2
RCAN1
CYP24A1
DNAJB4
ARG2
NEDD9
PER2
PTGER4
ZYX
SIK1
YBX3
DCUN1D3
FOSL1
CSRNP1
GLYATL2
BHLHE40
IDI1
SDF2L1
KLF6
QPCTL
RND1
ANKRD42
PDIA3
DDIT3
DUSP1
NFKBIA
TUFT1
ZNF331
KRT80
ERRFI1
PLK3
LIF
USP2
LXN
GABARAPL1
ANXA3
DIO2
IRS2
NFKBID
PIGA
PPP1R15A
ETS2
AREG
HMGCS1
AREGB
FLNA
YPEL5
MANF
FOS
KLF4
IDS
DSTN
FHL2
KDM6B
ZBTB10
JUND
ANXA2
DNAJB11
TRAJ10
MAP2K3
IFRD1
IRF1
HOPX
MVD
RGS2
UGDH
ESYT1
KIF9
PHLDA1
ARL4A
DUSP6
GBP2
RND3
CNN2
ARC
ING1
LSMEM1
ZNF165
CYCS
TGFBI
DUSP10
FN1
TMEM67
CASP9
SGK1
TP53INP2
BTBD19
SNAI2
STARD4
FOSL2
MACC1
MYL6
NUP62CL
TRIB1
RILPL2
IER2
ECH1
OAT
AAED1
DUSP8
SLITRK6
MYL12A
TIPARP
ANKRD37
JAG1
MSTO1
PPP1R15B
SLC26A2
PMAIP1
PRNP
CBWD1
NAMPT
TMSB4X
TPPP3
WDR1
NOX3
PAPOLB
COL1A1
GBP2
IRF2BP2
MCFD2
CHML
CRIP1
MOK
EFCAB10
IGFBP3
MAK
PCDH9
PPAPDC1B
TVP23B
DNAAF2
CCNL1
MINOS1
MMD
STEAP4
LZTFL1
TOB1
HYOU1
IL20
JUNB
UAP1
NFKBIZ
PIP5K1A
RHOV
ZFP36
PDLIM7
CRCT1
FKBP14
GPR50
INSIG1
LMCD1
ARL5B
PAGE2
ACTG1
DNAJB9
IGKV1-16
ASNS
TNFAIP1
GLA
ITPKC
MIOS
PNRC1
SEC61G
TPT1
WEE1
CD59
FRMD4B
IFT57
RSPH1
SLCO4A1
AMIGO3
CD9
HBEGF
ISG20
SERPINE1
TPPP3
TUBA1A
FKBP2
KRTAP19-2
BCL10
CBWD5
RHCG
ZFAND5
HNRNPA0
ITGB6
NFKBIA
RIBC1
TSPYL2
CITED2
ELF3
GNG5
AGR2
CCRL1
CD55
DAPK3
HMGCR
ZC2HC1C
IGKC
MMP13
TIMM10B
USP36
WNT1
ELF5
HSPB8
MPZL3
RGS16
TAGLN2
BCL6
CTR9
CXorf57
HCP5
ITPRIP
IVNS1ABP
MALAT1
MIS12
OASL
SGMS2
ACTB
ITGA5
MCL1
PAQR3
RSPH4A
CRELD1
FOXA1
ARF4
CBWD3
MYC
ATG9B
CDK2AP2
FDPS
KIAA1024L
OPN3
SERHL2
SLC7A8
TNFRSF21
ULBP1
VIMP
AHR
CRY1
GJA1
GPCPD1
MORF4L2
MPZL2
S100A10
TRIM29
VCL
CCDC89
CTSL1
HDAC5
KPNA7
BAMBI
CLCF1
LYRM5
RGAG4
SERPINB8
SFXN3
SIX4
SLC25A14
WNT10B
EZR
MSMO1
CHCHD7
CRIP2
EFHC1
MAFF
TRNAI2
FOXD4L3
LDLR
LONRF2
MAFK
PIFO
SPCS2
TRAF5
ZDBF2
Sep10
TIMP3
CYP51A1
EGR1
GCC2
LEKR1
PRRG4
TMEM2
AXIN2
CBWD1
ETF1
IRX3
NAV2
TAF1A
TMF1
ZPLD1
CD68
FOXD4
HES1
NPPC
PTHLH
AZIN1
EXTL2
FKBP11
GBP1
LYSMD3
PLK2
SQLE
TMED9
CCDC19
CETN2
CRIP1
CYB5D1
DDX43
GNL1
GNL3
GPR132
HELB
MNS1
PPIL4
RASEF
THBS3
TUBB2A
ALG13
CHMP1B
COL28A1
COQ10B
FGB
FOXD4L2
MDM2
RPGR
SBDS
SLC25A25
CDKN2AIP
DLX2
DNAJB1
PNP
SDCBP
SERTAD1
SKIL
DYRK3
EFNA1
EHF
GPRC5A
MAP9
NDRG1
RNF148
SLC25A4
SSR4
STK40
HERPUD1
ITGA2
PRPS1
PTP4A1
RAB36
TMEM231
TPT1
