Gene Symbol
AGPAT2
ANAPC13
CCNE2
COX18
DVL3
ELMO3
FASTK
FRS3
GID8
GUCD1
HCAR2
HIST1H1C
HIST1H2AM
KLHL21
MBIP
MCM5
NDUFS8
NLE1
P4HTM
PYURF
QARS
RNF126
SDHAF1
SMAD4
SPAG5
TBL3
TIMM8B
TOR2A
TP53INP1
TRIM21
ZDHHC18
CDCA8
CDKN1B
FBXL6
PHAX
PLD2
PLEKHH3
RCCD1
SAP30
SUPT4H1
TNFRSF25
WRAP73
ANKRD49
ARMCX6
BTBD6
CCDC121
CREB3L4
GPR146
HIST1H1D
MCAT
NAB2
NDST1
POLL
PYCR2
RMI2
RNASEL
THAP1
TMEM138
TPBG
ZNF302
ZNF322
ZNF629
ZNF639
AIP
CWC15
CXXC5
DBR1
KIF22
KMT2B
LYSMD2
MEX3D
NDUFS2
RP9
SNN
SUV39H1
THAP3
TP53TG1
TXNDC12
WDR85
AAAS
CSTF2T
DUT
FANCG
HDDC3
INPP5E
MAD2L1BP
MARVELD3
PDRG1
SGSH
TCEB2
TMEM128
USP19
ZNF134
CANT1
FBXL14
GTF3C5
HARS2
HCAR1
PDHB
RDH5
SESN1
TYSND1
ZNF57
ZNF92
CCDC127
CCDC23
CEP19
CLDN23
DCLRE1B
FGFR4
FXR2
HIST1H2BC
LIN37
MYD88
ORMDL1
PPP1R26
PRRT3
RMI1
RNF31
RXRB
SDR42E1
SLC27A3
TALDO1
TOR1A
TSC22D4
ZFP69
ZNF212
ZNF526
GPATCH3
H2AFJ
METTL18
NUDT12
PLAGL2
RAB27A
TMEM11
TMEM132A
TRAPPC3
TRIB3
TTI2
ZBTB3
AGA
CCNB2
DHRS1
DMAP1
FIZ1
GEMIN4
GSG2
KLLN
MBD4
TRIM11
USF2
ACOT8
CALM3
CCNE1
EME1
ERBB3
FUT1
GALT
HINFP
LEMD2
MFSD3
MITD1
TMEM19
TSR2
TSSK6
ZNF223
ALDH3B2
B3GALT6
COMMD4
COX5B
FAHD1
GEMIN7
PATZ1
