,x
1,NR4A1
2,EGR1
3,ATF3
4,NR4A3
5,JUN
6,FOSB
7,FOS
8,EGR3
9,NR4A2
10,GEM
11,RCAN1
12,EGR2
13,CSRNP1
14,EGR4
15,PER1
16,RASD1
17,IER2
18,VMP1
19,CYR61
20,DUSP1
21,JUNB
22,CTGF
23,ZFP36
24,GDF15
25,CGA
26,GPR50
27,ANKRD37
28,GLIPR1
29,CNTD2
30,SIK1
