,x
1,EGR1
2,FOS
3,NR4A1
4,JUN
5,EGR3
6,FOSB
7,IER2
8,NR4A2
9,EGR2
10,RASD1
11,DUSP1
12,ATF3
13,JUNB
14,ZFP36
15,CYR61
16,RCAN1
17,CTGF
18,CSRNP1
19,EGR4
20,GEM
21,PER1
22,IL20
23,NR4A3
24,CGA
25,ANKRD37
26,GPR50
27,SIK1
