,x
1,NR4A1
2,EGR1
3,NR4A3
4,FOS
5,NR4A2
6,EGR3
7,ATF3
8,JUN
9,FOSB
10,RCAN1
11,IER2
12,EGR2
13,RASD1
14,DUSP1
15,CTGF
16,CSRNP1
17,CYR61
18,TRIB1
19,EGR4
20,MCL1
21,GEM
22,ZFP36
23,JUNB
24,PPP1R15A
25,PER1
26,PHLDA1
27,IRS2
28,EPPK1
29,FOSL2
30,DUSP4
31,MAFF
32,NFKBID
33,CCNL1
34,SAT1
35,ING1
36,PNRC1
37,ARL5B
38,DUSP8
39,MYC
40,TP53INP2
41,SRF
42,BHLHE40
43,USP36
44,KLF4
45,CGA
46,SERTAD1
47,MAP3K8
48,AREG
49,FRMD4B
50,BTBD19
51,CYP24A1
52,TIPARP
53,FOSL1
54,JUND
55,NEDD9
56,RND1
57,TMEM88
58,KLF2
59,ANKRD37
60,GPR50
61,IL20
62,PTGER4
63,DIO2
64,GBP1
65,ARC
66,RGS2
67,TNFAIP3
68,LRRC15
69,SIK1
70,PDK4
71,DLX2
72,EREG
73,SLC2A4
