"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0005634","nucleus",6853,18,9.81,"0.00091","0.00091",0.0273,0.0273
"2","GO:0099078","BORC complex",8,1,0.01,"0.01139","0.01139",0.1611,0.1611
"3","GO:0016581","NuRD complex",17,1,0.02,"0.02406","0.02406",0.1611,0.1611
"4","GO:0090545","CHD-type complex",17,1,0.02,"0.02406","0.02406",0.1611,0.1611
"5","GO:0031258","lamellipodium membrane",19,1,0.03,"0.02685","0.02685",0.1611,0.1611
"6","GO:0090568","nuclear transcriptional repressor comple...",31,1,0.04,"0.04346","0.04346",0.2173,0.2173
"7","GO:0000118","histone deacetylase complex",61,1,0.09,"0.08378","0.08378",0.26004,0.26004
"8","GO:0031463","Cul3-RING ubiquitin ligase complex",67,1,0.1,"0.09165","0.09165",0.26004,0.26004
"9","GO:0005758","mitochondrial intermembrane space",73,1,0.1,"0.09945","0.09945",0.26004,0.26004
"10","GO:0070603","SWI/SNF superfamily-type complex",74,1,0.11,"0.10074","0.10074",0.26004,0.26004
"11","GO:0031970","organelle envelope lumen",81,1,0.12,"0.10975","0.10975",0.26004,0.26004
"12","GO:0017053","transcriptional repressor complex",82,1,0.12,"0.11103","0.11103",0.26004,0.26004
"13","GO:0043202","lysosomal lumen",92,1,0.13,"0.12373","0.12373",0.26004,0.26004
"14","GO:0005796","Golgi lumen",96,1,0.14,"0.12877","0.12877",0.26004,0.26004
"15","GO:0016605","PML body",97,1,0.14,"0.13002","0.13002",0.26004,0.26004
"16","GO:0001650","fibrillar center",125,1,0.18,"0.16442","0.16442",0.267819230769231,0.267819230769231
"17","GO:0044798","nuclear transcription factor complex",131,1,0.19,"0.17163","0.17163",0.267819230769231,0.267819230769231
"18","GO:0031256","leading edge membrane",135,1,0.19,"0.17639","0.17639",0.267819230769231,0.267819230769231
"19","GO:0044452","nucleolar part",166,1,0.24,"0.21246","0.21246",0.267819230769231,0.267819230769231
"20","GO:0031461","cullin-RING ubiquitin ligase complex",167,1,0.24,"0.21359","0.21359",0.267819230769231,0.267819230769231
"21","GO:0030027","lamellipodium",175,1,0.25,"0.22264","0.22264",0.267819230769231,0.267819230769231
"22","GO:0031974","membrane-enclosed lumen",4807,9,6.88,"0.22903","0.22903",0.267819230769231,0.267819230769231
"23","GO:0043233","organelle lumen",4807,9,6.88,"0.22903","0.22903",0.267819230769231,0.267819230769231
"24","GO:0070013","intracellular organelle lumen",4807,9,6.88,"0.22903","0.22903",0.267819230769231,0.267819230769231
"25","GO:0000323","lytic vacuole",639,2,0.91,"0.23211","0.23211",0.267819230769231,0.267819230769231
"26","GO:0005764","lysosome",639,2,0.91,"0.23211","0.23211",0.267819230769231,0.267819230769231
"27","GO:0005775","vacuolar lumen",193,1,0.28,"0.24263","0.24263",0.269588888888889,0.269588888888889
"28","GO:0044445","cytosolic part",237,1,0.34,"0.28943","0.28943",0.300310344827586,0.300310344827586
"29","GO:0031981","nuclear lumen",3794,7,5.43,"0.29030","0.29030",0.300310344827586,0.300310344827586
"30","GO:0000790","nuclear chromatin",277,1,0.4,"0.32956","0.32956",0.32956,0.32956
